ORF	       Alkali 0m	      Alkali 10m	      Alkali 20m	      Alkali 40m	      Alkali 60m	      Alkali 80m	     Alkali 100m
YMR205C	         3336.40	         3113.10	         2880.60	         2762.30	         2979.30	         2972.70	         2927.60
YMR206W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YMR207C	          165.60	          147.10	            NULL	           83.60	           48.50	          157.10	          173.80
YMR208W	          325.85	          392.90	          218.20	          353.30	          279.90	          413.80	          378.70
YMR209C	          129.65	           99.80	            NULL	           54.50	            NULL	          146.80	          169.20
YMR210W	           81.60	            NULL	            NULL	           80.60	          126.70	            NULL	            NULL
YMR211W	          191.35	            NULL	            NULL	          235.60	           87.60	          118.60	          221.80
YMR212C	          264.95	          241.60	            NULL	          155.90	          156.00	          126.30	          269.80
YMR213W	           94.00	            NULL	            NULL	            NULL	          100.60	            NULL	          136.90
YMR214W	          223.45	          197.50	          365.30	          213.20	          364.70	          223.80	          160.00
YMR215W	         2077.80	          976.00	          456.40	          993.40	          948.20	         1381.40	         1811.90
YMR216C	          125.25	          288.90	            NULL	          223.70	          107.10	          172.50	          177.50
YMR217W	         2608.60	         1250.30	          638.60	         1255.70	         1235.10	         1609.80	         1967.80
YMR218C	          195.05	          295.20	            NULL	          133.50	          156.00	          185.30	          172.00
YMR219W	          178.10	          184.90	            NULL	          118.60	          224.50	          209.70	          140.60
YMR220W	          784.55	          761.70	          526.50	          360.00	          413.60	          515.20	          642.60
YMR221C	          272.15	          178.60	            NULL	          171.50	          110.40	          323.90	          296.50
YMR222C	          180.70	            NULL	            NULL	          129.80	          293.00	          189.20	          251.30
YMR223W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YMR224C	            NULL	            NULL	            NULL	            NULL	          133.20	            NULL	            NULL
YMR225C	          347.10	          745.90	          442.40	          430.10	          563.60	          402.20	          488.50
YMR226C	         2224.65	         3607.90	         4092.70	         2559.60	         5606.90	         2689.10	         3233.10
YMR227C	          119.65	          222.70	            NULL	          172.20	          247.30	          167.40	          107.40
YMR228W	          184.40	            NULL	            NULL	          138.00	          195.20	          103.20	          163.60
YMR229C	          981.75	          178.60	            NULL	          298.20	          371.20	          494.60	          482.00
YMR230W	         4693.95	         2675.00	         2201.00	         2477.70	         2581.60	         3876.20	         3898.50
YMR231W	           53.90	           84.50	          100.50	           89.30	           44.90	           47.30	            NULL
YMR232W	           18.00	            NULL	            NULL	           29.20	            NULL	            NULL	            NULL
YMR233W	          219.00	          328.40	            NULL	          145.80	          119.10	           94.50	          148.60
YMR234W	           73.40	            NULL	            NULL	           34.30	            NULL	            NULL	           36.60
YMR235C	          993.60	          374.20	          556.80	          450.70	          339.90	          510.20	          555.80
YMR236W	          802.10	          768.50	          616.00	          682.40	          607.10	          598.60	          624.60
YMR237W	          289.80	          374.20	          422.50	          233.40	          282.40	          320.40	          379.40
YMR238W	          709.00	         1252.60	          902.50	          826.50	          826.00	         1037.40	         1366.80
YMR239C	          293.90	            NULL	          221.00	          268.90	          252.70	          290.30	          257.40
YMR240C	          119.10	          143.20	          126.20	          106.70	           78.30	          100.50	          104.30
YMR241W	          997.15	          819.80	          959.70	         1124.80	          696.20	         1144.90	         1481.10
YMR242C	         4715.40	         3464.00	         3606.60	         2634.50	         2399.30	         2833.90	         3548.00
YMR243C	         2266.90	          983.00	          675.30	          708.40	          636.80	          852.60	         1014.00
YMR244C-A	          199.20	          333.90	          161.70	          137.90	          148.80	          203.90	          227.40
YMR244W	            NULL	           55.20	            NULL	           87.90	            NULL	            NULL	            NULL
YMR245W	           63.80	          156.00	          130.10	          103.10	          102.50	           88.50	          112.00
YMR246W	         1527.15	          752.00	          600.20	          520.20	          501.30	         1158.90	         1514.40
